,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
Queensland_Australia,New South Wales_Australia|Australian Capital Territory_Australia|French Polynesia_France|Victoria_Australia|New Caledonia_France,New South Wales_Australia|Australian Capital Territory_Australia|French Polynesia_France|Victoria_Australia|New Caledonia_France|South Australia_Australia|Tasmania_Australia|nan_New Zealand|nan_Papua New Guinea|nan_Fiji,New South Wales_Australia|Australian Capital Territory_Australia|French Polynesia_France|Victoria_Australia|New Caledonia_France|South Australia_Australia|Tasmania_Australia|nan_New Zealand|nan_Papua New Guinea|nan_Fiji|Northern Territory_Australia|nan_Timor-Leste|Western Australia_Australia|American Samoa_US|Guam_US|Northern Mariana Islands_US|nan_Indonesia|nan_Brunei|nan_Malaysia|nan_Philippines|nan_Singapore|nan_Taiwan*|nan_Cambodia|nan_Vietnam|Hong Kong_China|Macau_China|Hainan_China|Fujian_China|Guangdong_China|Zhejiang_China
South Australia_Australia,Victoria_Australia|Australian Capital Territory_Australia|Tasmania_Australia|New South Wales_Australia|Queensland_Australia,Victoria_Australia|Australian Capital Territory_Australia|Tasmania_Australia|New South Wales_Australia|Queensland_Australia|Western Australia_Australia|French Polynesia_France|Northern Territory_Australia|New Caledonia_France|nan_Timor-Leste,Victoria_Australia|Australian Capital Territory_Australia|Tasmania_Australia|New South Wales_Australia|Queensland_Australia|Western Australia_Australia|French Polynesia_France|Northern Territory_Australia|New Caledonia_France|nan_Timor-Leste|nan_Papua New Guinea|nan_New Zealand|nan_Fiji|nan_Indonesia|nan_Malaysia|nan_Brunei|Guam_US|nan_Singapore|nan_Philippines|Northern Mariana Islands_US|American Samoa_US|nan_Cambodia|nan_Vietnam|Hainan_China|nan_Taiwan*|nan_Thailand|Hong Kong_China|Macau_China|Guangdong_China|Fujian_China
Tasmania_Australia,Victoria_Australia|Australian Capital Territory_Australia|New South Wales_Australia|South Australia_Australia|Queensland_Australia,Victoria_Australia|Australian Capital Territory_Australia|New South Wales_Australia|South Australia_Australia|Queensland_Australia|nan_New Zealand|French Polynesia_France|Western Australia_Australia|New Caledonia_France|Northern Territory_Australia,Victoria_Australia|Australian Capital Territory_Australia|New South Wales_Australia|South Australia_Australia|Queensland_Australia|nan_New Zealand|French Polynesia_France|Western Australia_Australia|New Caledonia_France|Northern Territory_Australia|nan_Papua New Guinea|nan_Fiji|nan_Timor-Leste|American Samoa_US|nan_Indonesia|nan_Malaysia|nan_Brunei|Guam_US|Northern Mariana Islands_US|nan_Singapore|nan_Philippines|nan_Cambodia|nan_Vietnam|nan_Taiwan*|Hainan_China|nan_Thailand|Hong Kong_China|Macau_China|Guangdong_China|Fujian_China
Victoria_Australia,Tasmania_Australia|Australian Capital Territory_Australia|South Australia_Australia|New South Wales_Australia|Queensland_Australia,Tasmania_Australia|Australian Capital Territory_Australia|South Australia_Australia|New South Wales_Australia|Queensland_Australia|French Polynesia_France|nan_New Zealand|Western Australia_Australia|New Caledonia_France|Northern Territory_Australia,Tasmania_Australia|Australian Capital Territory_Australia|South Australia_Australia|New South Wales_Australia|Queensland_Australia|French Polynesia_France|nan_New Zealand|Western Australia_Australia|New Caledonia_France|Northern Territory_Australia|nan_Papua New Guinea|nan_Timor-Leste|nan_Fiji|American Samoa_US|nan_Indonesia|nan_Malaysia|nan_Brunei|Guam_US|Northern Mariana Islands_US|nan_Singapore|nan_Philippines|nan_Cambodia|nan_Vietnam|nan_Taiwan*|Hainan_China|Hong Kong_China|Macau_China|nan_Thailand|Guangdong_China|Fujian_China
Western Australia_Australia,South Australia_Australia|Northern Territory_Australia|Victoria_Australia|nan_Timor-Leste|Tasmania_Australia,South Australia_Australia|Northern Territory_Australia|Victoria_Australia|nan_Timor-Leste|Tasmania_Australia|Australian Capital Territory_Australia|New South Wales_Australia|nan_Indonesia|Queensland_Australia|French Polynesia_France,South Australia_Australia|Northern Territory_Australia|Victoria_Australia|nan_Timor-Leste|Tasmania_Australia|Australian Capital Territory_Australia|New South Wales_Australia|nan_Indonesia|Queensland_Australia|French Polynesia_France|nan_Malaysia|nan_Singapore|nan_Brunei|nan_Papua New Guinea|nan_Cambodia|nan_Philippines|New Caledonia_France|nan_New Zealand|nan_Vietnam|nan_Thailand|nan_Sri Lanka|Hainan_China|Guam_US|nan_Laos|nan_Mauritius|nan_Maldives|Macau_China|Hong Kong_China|Reunion_France|Northern Mariana Islands_US
nan_Austria,nan_Slovenia|nan_Czechia|nan_Croatia|nan_Hungary|nan_Liechtenstein,nan_Slovenia|nan_Czechia|nan_Croatia|nan_Hungary|nan_Liechtenstein|nan_Slovakia|nan_San Marino|nan_Bosnia and Herzegovina|nan_Switzerland|nan_Italy,nan_Slovenia|nan_Czechia|nan_Croatia|nan_Hungary|nan_Liechtenstein|nan_Slovakia|nan_San Marino|nan_Bosnia and Herzegovina|nan_Switzerland|nan_Italy|nan_Germany|nan_Poland|nan_Serbia|nan_Holy See|nan_Luxembourg|nan_Montenegro|nan_Monaco|nan_Kosovo|nan_Romania|nan_Albania|nan_Netherlands|nan_Belgium|nan_North Macedonia|nan_France|nan_Bulgaria|nan_Denmark|nan_Moldova|nan_Lithuania|nan_Greece|nan_Andorra
nan_Azerbaijan,nan_Armenia|nan_Georgia|nan_Iraq|nan_Syria|nan_Iran,nan_Armenia|nan_Georgia|nan_Iraq|nan_Syria|nan_Iran|nan_Turkey|nan_Kuwait|nan_Lebanon|nan_Cyprus|nan_Jordan,nan_Armenia|nan_Georgia|nan_Iraq|nan_Syria|nan_Iran|nan_Turkey|nan_Kuwait|nan_Lebanon|nan_Cyprus|nan_Jordan|nan_West Bank and Gaza|nan_Uzbekistan|nan_Israel|nan_Bahrain|nan_Ukraine|nan_Qatar|nan_Moldova|nan_Afghanistan|nan_Kazakhstan|nan_Saudi Arabia|nan_Bulgaria|nan_United Arab Emirates|nan_Romania|nan_Belarus|nan_North Macedonia|nan_Greece|nan_Serbia|nan_Kosovo|nan_Pakistan|nan_Egypt
nan_Bahamas,nan_Cuba|Turks and Caicos Islands_United Kingdom|Cayman Islands_United Kingdom|nan_Jamaica|nan_Haiti,nan_Cuba|Turks and Caicos Islands_United Kingdom|Cayman Islands_United Kingdom|nan_Jamaica|nan_Haiti|nan_Dominican Republic|Puerto Rico_US|nan_Honduras|Bermuda_United Kingdom|Virgin Islands_US,"nan_Cuba|Turks and Caicos Islands_United Kingdom|Cayman Islands_United Kingdom|nan_Jamaica|nan_Haiti|nan_Dominican Republic|Puerto Rico_US|nan_Honduras|Bermuda_United Kingdom|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Nicaragua|Aruba_Netherlands|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Curacao_Netherlands|nan_Guatemala|Saint Barthelemy_France|Bonaire, Sint Eustatius and Saba_Netherlands|nan_El Salvador|nan_Saint Kitts and Nevis|nan_Costa Rica|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Panama|Guadeloupe_France|nan_Dominica|Martinique_France|nan_Saint Lucia"
nan_Bahrain,nan_Qatar|nan_United Arab Emirates|nan_Kuwait|nan_Saudi Arabia|nan_Iran,nan_Qatar|nan_United Arab Emirates|nan_Kuwait|nan_Saudi Arabia|nan_Iran|nan_Oman|nan_Iraq|nan_Yemen|nan_Syria|nan_Jordan,nan_Qatar|nan_United Arab Emirates|nan_Kuwait|nan_Saudi Arabia|nan_Iran|nan_Oman|nan_Iraq|nan_Yemen|nan_Syria|nan_Jordan|nan_Azerbaijan|nan_Afghanistan|nan_Israel|nan_West Bank and Gaza|nan_Armenia|nan_Eritrea|nan_Lebanon|nan_Djibouti|nan_Pakistan|nan_Georgia|nan_Cyprus|nan_Turkey|nan_Egypt|nan_Uzbekistan|nan_Ethiopia|nan_Somalia|nan_Sudan|nan_Kyrgyzstan|nan_Kazakhstan|nan_India
nan_Bangladesh,nan_Bhutan|nan_Burma|nan_Nepal|Tibet_China|Yunnan_China,nan_Bhutan|nan_Burma|nan_Nepal|Tibet_China|Yunnan_China|nan_India|nan_Laos|Qinghai_China|Sichuan_China|nan_Thailand,nan_Bhutan|nan_Burma|nan_Nepal|Tibet_China|Yunnan_China|nan_India|nan_Laos|Qinghai_China|Sichuan_China|nan_Thailand|Guizhou_China|Gansu_China|Chongqing_China|Guangxi_China|Xinjiang_China|nan_Vietnam|nan_Cambodia|Hainan_China|nan_Sri Lanka|Ningxia_China|Hunan_China|Shaanxi_China|nan_Pakistan|Hubei_China|Guangdong_China|Macau_China|nan_Kyrgyzstan|Hong Kong_China|Henan_China|Jiangxi_China
nan_Barbados,nan_Barbados|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|Martinique_France|nan_Grenada,nan_Barbados|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|Martinique_France|nan_Grenada|nan_Dominica|nan_Trinidad and Tobago|Guadeloupe_France|Montserrat_United Kingdom|nan_Antigua and Barbuda,"nan_Barbados|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|Martinique_France|nan_Grenada|nan_Dominica|nan_Trinidad and Tobago|Guadeloupe_France|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|nan_Guyana|Puerto Rico_US|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|nan_Venezuela|nan_Suriname|Aruba_Netherlands|French Guiana_France|nan_Dominican Republic|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Colombia|nan_Jamaica"
nan_Belarus,nan_Lithuania|nan_Latvia|nan_Estonia|nan_Poland|nan_Ukraine,nan_Lithuania|nan_Latvia|nan_Estonia|nan_Poland|nan_Ukraine|nan_Moldova|nan_Slovakia|nan_Romania|nan_Hungary|nan_Czechia,nan_Lithuania|nan_Latvia|nan_Estonia|nan_Poland|nan_Ukraine|nan_Moldova|nan_Slovakia|nan_Romania|nan_Hungary|nan_Czechia|nan_Finland|nan_Austria|nan_Serbia|nan_Denmark|nan_Bulgaria|nan_Sweden|nan_Slovenia|nan_Germany|nan_Bosnia and Herzegovina|nan_Croatia|nan_Kosovo|nan_Norway|nan_Montenegro|nan_North Macedonia|nan_Liechtenstein|nan_Albania|nan_Netherlands|nan_Luxembourg|nan_San Marino|nan_Switzerland
nan_Belgium,nan_Netherlands|nan_Luxembourg|nan_Germany|Channel Islands_United Kingdom|nan_France,nan_Netherlands|nan_Luxembourg|nan_Germany|Channel Islands_United Kingdom|nan_France|nan_Switzerland|nan_Liechtenstein|Isle of Man_United Kingdom|nan_Denmark|nan_United Kingdom,nan_Netherlands|nan_Luxembourg|nan_Germany|Channel Islands_United Kingdom|nan_France|nan_Switzerland|nan_Liechtenstein|Isle of Man_United Kingdom|nan_Denmark|nan_United Kingdom|nan_Czechia|nan_Monaco|nan_Ireland|nan_Austria|nan_Andorra|nan_Slovenia|nan_San Marino|nan_Croatia|nan_Poland|nan_Italy|nan_Norway|nan_Slovakia|nan_Holy See|nan_Hungary|nan_Bosnia and Herzegovina|nan_Spain|Faroe Islands_Denmark|nan_Lithuania|nan_Serbia|nan_Montenegro
nan_Benin,nan_Togo|nan_Ghana|nan_Burkina Faso|nan_Nigeria|nan_Cote d'Ivoire,nan_Togo|nan_Ghana|nan_Burkina Faso|nan_Nigeria|nan_Cote d'Ivoire|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|Michigan_US|Massachusetts_US,nan_Togo|nan_Ghana|nan_Burkina Faso|nan_Nigeria|nan_Cote d'Ivoire|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|Michigan_US|Massachusetts_US|Maryland_US|Idaho_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Iowa_US|Indiana_US|Illinois_US|Hawaii_US|Delaware_US|District of Columbia_US|Minnesota_US|Connecticut_US|Colorado_US|California_US|Arkansas_US|Arizona_US|Alaska_US|Alabama_US
nan_Bhutan,nan_Bangladesh|Tibet_China|nan_Nepal|nan_Burma|Qinghai_China,nan_Bangladesh|Tibet_China|nan_Nepal|nan_Burma|Qinghai_China|Yunnan_China|Sichuan_China|nan_India|nan_Laos|Gansu_China,nan_Bangladesh|Tibet_China|nan_Nepal|nan_Burma|Qinghai_China|Yunnan_China|Sichuan_China|nan_India|nan_Laos|Gansu_China|Xinjiang_China|Guizhou_China|Chongqing_China|nan_Thailand|Ningxia_China|Guangxi_China|Shaanxi_China|nan_Pakistan|nan_Kyrgyzstan|Hunan_China|Hubei_China|Hainan_China|nan_Vietnam|Henan_China|nan_Cambodia|Shanxi_China|Guangdong_China|Macau_China|nan_Mongolia|Hong Kong_China
nan_Bolivia,nan_Paraguay|nan_Brazil|nan_Peru|nan_Uruguay|nan_Ecuador,nan_Paraguay|nan_Brazil|nan_Peru|nan_Uruguay|nan_Ecuador|nan_Chile|nan_Suriname|nan_Guyana|nan_Argentina|French Guiana_France,"nan_Paraguay|nan_Brazil|nan_Peru|nan_Uruguay|nan_Ecuador|nan_Chile|nan_Suriname|nan_Guyana|nan_Argentina|French Guiana_France|nan_Venezuela|nan_Colombia|nan_Trinidad and Tobago|nan_Grenada|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|nan_Saint Vincent and the Grenadines|Aruba_Netherlands|nan_Belize|nan_Barbados|nan_Panama|nan_Saint Lucia|Martinique_France|nan_Dominica|Guadeloupe_France|nan_Costa Rica|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|Saint Barthelemy_France"
nan_Bosnia and Herzegovina,nan_Montenegro|nan_Croatia|nan_Serbia|nan_Kosovo|nan_Slovenia,nan_Montenegro|nan_Croatia|nan_Serbia|nan_Kosovo|nan_Slovenia|nan_Albania|nan_Hungary|nan_San Marino|nan_North Macedonia|nan_Austria,nan_Montenegro|nan_Croatia|nan_Serbia|nan_Kosovo|nan_Slovenia|nan_Albania|nan_Hungary|nan_San Marino|nan_North Macedonia|nan_Austria|nan_Italy|nan_Holy See|nan_Slovakia|nan_Romania|nan_Greece|nan_Bulgaria|nan_Czechia|nan_Liechtenstein|nan_Switzerland|nan_Monaco|nan_Poland|nan_Moldova|nan_Malta|nan_Germany|nan_Luxembourg|nan_Ukraine|nan_France|nan_Belgium|nan_Netherlands|nan_Andorra
nan_Brazil,nan_Paraguay|nan_Bolivia|French Guiana_France|nan_Suriname|nan_Uruguay,nan_Paraguay|nan_Bolivia|French Guiana_France|nan_Suriname|nan_Uruguay|nan_Guyana|nan_Peru|nan_Venezuela|nan_Argentina|nan_Trinidad and Tobago,"nan_Paraguay|nan_Bolivia|French Guiana_France|nan_Suriname|nan_Uruguay|nan_Guyana|nan_Peru|nan_Venezuela|nan_Argentina|nan_Trinidad and Tobago|nan_Chile|nan_Grenada|nan_Barbados|nan_Belize|nan_Saint Vincent and the Grenadines|nan_Ecuador|nan_Colombia|nan_Saint Lucia|Martinique_France|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Dominica|Curacao_Netherlands|Guadeloupe_France|Aruba_Netherlands|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France"
nan_Brunei,nan_Malaysia|nan_Indonesia|nan_Philippines|nan_Singapore|nan_Cambodia,nan_Malaysia|nan_Indonesia|nan_Philippines|nan_Singapore|nan_Cambodia|nan_Vietnam|Hainan_China|nan_Thailand|nan_Timor-Leste|Macau_China,nan_Malaysia|nan_Indonesia|nan_Philippines|nan_Singapore|nan_Cambodia|nan_Vietnam|Hainan_China|nan_Thailand|nan_Timor-Leste|Macau_China|Hong Kong_China|Guangdong_China|nan_Laos|nan_Taiwan*|Guangxi_China|Fujian_China|Jiangxi_China|Hunan_China|Northern Territory_Australia|Guizhou_China|Yunnan_China|Zhejiang_China|nan_Burma|Chongqing_China|Hubei_China|Anhui_China|Shanghai_China|Sichuan_China|Jiangsu_China|Henan_China
nan_Bulgaria,nan_North Macedonia|nan_Romania|nan_Kosovo|nan_Serbia|nan_Albania,nan_North Macedonia|nan_Romania|nan_Kosovo|nan_Serbia|nan_Albania|nan_Montenegro|nan_Greece|nan_Moldova|nan_Bosnia and Herzegovina|nan_Hungary,nan_North Macedonia|nan_Romania|nan_Kosovo|nan_Serbia|nan_Albania|nan_Montenegro|nan_Greece|nan_Moldova|nan_Bosnia and Herzegovina|nan_Hungary|nan_Ukraine|nan_Slovakia|nan_Croatia|nan_Slovenia|nan_Turkey|nan_Austria|nan_San Marino|nan_Holy See|nan_Cyprus|nan_Czechia|nan_Italy|nan_Poland|nan_Malta|nan_Belarus|nan_Lebanon|nan_Liechtenstein|nan_Lithuania|nan_Switzerland|nan_Syria|nan_Georgia
